project_id,instance,zone,creationTimestamp,licenses
colpal-shared-resources-prd,gnt-tsg-jumpserver-gp1,us-east4-c,2021-09-10T11:34:54.188-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-aat-dev-promooptimization,promoai-lgd,us-east4-c,2025-02-05T01:27:25.884-08:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-dev-commvault-mgmt,netapp-proxy-dev,us-east4-c,2024-04-22T09:10:13.794-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-esc-prod-bigfix,splunkds-lgp1,us-east4-c,2025-01-08T10:36:49.301-08:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-dev-athena,gaa-athena-gd1,us-east4-c,2023-06-15T12:31:35.152-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-dev-athena,gaa-athena-lgd7,us-east4-c,2024-07-16T13:52:34.248-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-dev-hybris-cop-tf,hybriscop-gd1,us-east4-a,2022-03-25T02:12:42.711-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-dev-hybris-cporder,hybris-arcp-gd1,us-east4-a,2022-06-09T23:42:04.924-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-dev-hybris-h4u,hybrish4u-gd1,us-east4-a,2022-04-26T23:16:19.505-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-dev-hybris-hth,hybris-hth-gd1,us-east4-a,2022-07-25T11:37:08.488-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-dev-hybris-hth,hybris-hth-gd2,us-east4-a,2022-07-25T11:40:16.092-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-dev-hybris-hth,hybris-hth-gd3,us-east4-a,2022-08-24T04:38:26.542-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-dev-hybris-hth,hybris-hth-gd4,us-east4-a,2022-11-17T08:44:07.568-08:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-dev-hybris-hth,hybris-hth-gd5,us-east4-a,2022-11-17T08:44:07.819-08:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-dev-hybris-hth,hybris-sit-lgd1,us-east4-a,2024-04-23T12:35:38.842-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
cp-gaa-prod-hybris-cop,hybriscop-gp1,us-east4-a,2022-09-15T04:13:05.831-07:00,https://www.googleapis.com/compute/v1/projects/rhel-cloud/global/licenses/rhel-8-server
